method,shifted_geometric_mean
OA,126.8 (0.00%)
OA-FBBT,130.1 (2.65%)
C-OA-Coramin(r),121.4 (-4.26%)
C-OA-FBBT-Coramin(r),130.7 (3.15%)
C-OA-Baron(r),93.6 (-26.18%)
C-OA-Baron(c),102.2 (-19.37%)
GOA,587.2 (0.00%)
GOA-FBBT,518.1 (-11.76%)
C-GOA-Coramin(r),511.2 (-12.94%)
C-GOA-FBBT-Coramin(r),454.9 (-22.53%)
C-GOA-Baron(r),448.3 (-23.65%)
C-GOA-Baron(c),444.4 (-24.31%)
LP/NLP-B&B,71.2 (0.00%)
LP/NLP-B&B-FBBT,64.8 (-9.01%)
C-LP/NLP-B&B-Coramin(r),51.1 (-28.26%)
C-LP/NLP-B&B-FBBT-Coramin(r),50.2 (-29.57%)
C-LP/NLP-B&B-Baron(r),43.4 (-39.05%)
C-LP/NLP-B&B-Baron(c),57.5 (-19.33%)
GLP/NLP-B&B,671.3 (0.00%)
GLP/NLP-B&B-FBBT,660.3 (-1.64%)
C-GLP/NLP-B&B-Coramin(r),616.2 (-8.21%)
C-GLP/NLP-B&B-FBBT-Coramin(r),592.5 (-11.74%)
C-GLP/NLP-B&B-Baron(r),554.4 (-17.42%)
C-GLP/NLP-B&B-Baron(c),575.7 (-14.24%)
